split,image_path,label_path,width,height,brightness,contrast,blur_var,file_size_kb,label_obj_count,issues
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image100.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image100.txt,640,640,40.6228955078125,57.08668833786811,499.594560546875,39.0595703125,8,dark_image
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1000.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1000.txt,640,640,108.132412109375,75.70553600791256,396.8477659389913,42.8173828125,2,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1001.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1001.txt,640,640,171.36720703125,64.27713169181773,314.4885448817968,45.3515625,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1002.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1002.txt,640,640,179.5612255859375,52.81988650123798,302.8098654672563,42.78125,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1005.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1005.txt,640,640,133.2061376953125,79.61966336740927,622.7016958480835,60.857421875,4,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1006.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1006.txt,640,640,162.07086181640625,64.26119710936797,2318.369436360145,76.9013671875,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1008.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1008.txt,640,640,138.75758544921874,89.444070455664,675.9339816781938,52.4775390625,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image101.jpeg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image101.txt,640,640,126.9674853515625,101.18331433917278,3045.9244395148216,79.89453125,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1011.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1011.txt,640,640,178.0264208984375,55.393226727004865,304.2381013512552,42.6650390625,3,
train,D:\Desktop\capstone\data\merged\ppe_split\train\images\construction_image1012.jpg,D:\Desktop\capstone\data\merged\ppe_split\train\labels\construction_image1012.txt,640,640,177.32485595703125,55.50600109595622,289.2917919748068,41.89453125,3,
